Last metadata expiration check: 20:51:34 ago on Tue 12 Aug 2025 02:29:57 PM EDT.
Dependencies resolved.
==========================================================================================================================================================
 Package                                    Architecture          Version                                           Repository                       Size
==========================================================================================================================================================
Installing:
 perl-IO                                    x86_64                1.38-423.el8_10                                   rhel08-baseos                   143 k
 perl-IO-Zlib                               noarch                1:1.10-423.el8_10                                 rhel08-baseos                    81 k
 perl-Locale-Maketext-Simple                noarch                1:0.21-423.el8_10                                 rhel08-appstream                 79 k
 perl-Math-Complex                          noarch                1.59-423.el8_10                                   rhel08-baseos                   109 k
 perl-Memoize                               noarch                1.03-423.el8_10                                   rhel08-appstream                119 k
 perl-Module-Loaded                         noarch                1:0.08-423.el8_10                                 rhel08-appstream                 75 k
 perl-Net-Ping                              noarch                2.55-423.el8_10                                   rhel08-appstream                102 k
 perl-Pod-Html                              noarch                1.22.02-423.el8_10                                rhel08-appstream                 88 k
 perl-SelfLoader                            noarch                1.23-423.el8_10                                   rhel08-appstream                 84 k
 perl-Test                                  noarch                1.30-423.el8_10                                   rhel08-appstream                 91 k
 perl-Time-Piece                            x86_64                1.31-423.el8_10                                   rhel08-appstream                 99 k
 perl-devel                                 x86_64                4:5.26.3-423.el8_10                               rhel08-appstream                600 k
 perl-interpreter                           x86_64                4:5.26.3-423.el8_10                               rhel08-baseos                   6.3 M
 perl-libnetcfg                             noarch                4:5.26.3-423.el8_10                               rhel08-appstream                 78 k
 perl-libs                                  x86_64                4:5.26.3-423.el8_10                               rhel08-baseos                   1.6 M
 perl-macros                                x86_64                4:5.26.3-423.el8_10                               rhel08-baseos                    73 k
 perl-open                                  noarch                1.11-423.el8_10                                   rhel08-appstream                 78 k
 perl-utils                                 noarch                5.26.3-423.el8_10                                 rhel08-appstream                129 k
 platform-python                            x86_64                3.6.8-70.el8_10                                   rhel08-baseos                    89 k
 platform-python-devel                      x86_64                3.6.8-70.el8_10                                   rhel08-appstream                242 k
 platform-python-setuptools                 noarch                39.2.0-9.el8_10                                   rhel08-baseos                   633 k
