X Y Bandwidth Latency Iter HostX HostY
8 12 7384.45 0.82 4 p-sc-2109 p-sc-2113
8 13 7542.39 0.77 5 p-sc-2109 p-sc-2114
8 14 7442.84 0.77 6 p-sc-2109 p-sc-2115
8 15 7433.82 0.76 7 p-sc-2109 p-sc-2116

9 0 7506.37 0.77 9 p-sc-2110 p-sc-2101
9 1 7476.19 0.75 8 p-sc-2110 p-sc-2102
9 2 7609.20 0.75 11 p-sc-2110 p-sc-2103
9 3 7648.23 0.74 10 p-sc-2110 p-sc-2104
9 4 7471.61 0.74 13 p-sc-2110 p-sc-2105
9 5 7675.43 0.73 12 p-sc-2110 p-sc-2106
9 6 7644.62 0.76 15 p-sc-2110 p-sc-2107
9 7 7615.29 0.74 14 p-sc-2110 p-sc-2108
9 8 6811.82 0.77 1 p-sc-2110 p-sc-2109
9 9 12357.07 0.12 0 p-sc-2110 p-sc-2110
9 10 7386.01 0.79 3 p-sc-2110 p-sc-2111
9 11 7084.18 0.75 2 p-sc-2110 p-sc-2112
9 12 7490.41 0.75 5 p-sc-2110 p-sc-2113
9 13 7323.33 0.77 4 p-sc-2110 p-sc-2114
9 14 7604.48 0.74 7 p-sc-2110 p-sc-2115
9 15 7646.66 0.75 6 p-sc-2110 p-sc-2116

10 0 7470.28 0.75 10 p-sc-2111 p-sc-2101
10 1 7591.16 0.74 11 p-sc-2111 p-sc-2102
10 2 7642.06 0.74 8 p-sc-2111 p-sc-2103
10 3 7615.91 0.75 9 p-sc-2111 p-sc-2104
10 4 7570.95 0.75 14 p-sc-2111 p-sc-2105
10 5 7790.08 0.74 15 p-sc-2111 p-sc-2106
10 6 7805.21 0.77 12 p-sc-2111 p-sc-2107
10 7 7738.76 0.76 13 p-sc-2111 p-sc-2108
10 8 7146.60 0.75 2 p-sc-2111 p-sc-2109
10 9 7387.85 0.79 3 p-sc-2111 p-sc-2110
10 10 10132.80 0.13 0 p-sc-2111 p-sc-2111
10 11 6940.62 0.76 1 p-sc-2111 p-sc-2112
10 12 7442.79 0.75 6 p-sc-2111 p-sc-2113
10 13 7475.03 0.75 7 p-sc-2111 p-sc-2114
10 14 7433.89 0.75 4 p-sc-2111 p-sc-2115
10 15 7481.00 0.77 5 p-sc-2111 p-sc-2116

11 0 7594.11 0.74 11 p-sc-2112 p-sc-2101
11 1 7501.49 0.73 10 p-sc-2112 p-sc-2102
11 2 7610.25 0.74 9 p-sc-2112 p-sc-2103
11 3 7795.18 0.76 8 p-sc-2112 p-sc-2104
11 4 7796.49 0.75 15 p-sc-2112 p-sc-2105
11 5 7729.27 0.76 14 p-sc-2112 p-sc-2106
11 6 7866.83 0.73 13 p-sc-2112 p-sc-2107
11 7 7859.43 0.74 12 p-sc-2112 p-sc-2108
11 8 7428.26 0.75 3 p-sc-2112 p-sc-2109
11 9 7082.56 0.75 2 p-sc-2112 p-sc-2110
11 10 6939.45 0.76 1 p-sc-2112 p-sc-2111
11 11 10166.51 0.13 0 p-sc-2112 p-sc-2112
11 12 7653.98 0.76 7 p-sc-2112 p-sc-2113
11 13 7685.58 0.76 6 p-sc-2112 p-sc-2114
11 14 7640.16 0.75 5 p-sc-2112 p-sc-2115
11 15 7486.17 0.78 4 p-sc-2112 p-sc-2116

12 0 7605.10 0.76 12 p-sc-2113 p-sc-2101
12 1 7497.14 0.74 13 p-sc-2113 p-sc-2102
12 2 7696.05 0.76 14 p-sc-2113 p-sc-2103
12 3 7724.12 0.76 15 p-sc-2113 p-sc-2104
12 4 7559.83 0.75 8 p-sc-2113 p-sc-2105
12 5 7542.46 0.75 9 p-sc-2113 p-sc-2106
12 6 7978.23 0.75 10 p-sc-2113 p-sc-2107
12 7 7738.02 0.75 11 p-sc-2113 p-sc-2108
12 8 7381.13 0.81 4 p-sc-2113 p-sc-2109
12 9 7487.10 0.75 5 p-sc-2113 p-sc-2110
12 10 7440.82 0.76 6 p-sc-2113 p-sc-2111
12 11 7654.00 0.76 7 p-sc-2113 p-sc-2112
12 12 9322.01 0.13 0 p-sc-2113 p-sc-2113
12 13 6600.71 0.79 1 p-sc-2113 p-sc-2114
12 14 7031.19 0.76 2 p-sc-2113 p-sc-2115
12 15 7332.00 0.78 3 p-sc-2113 p-sc-2116

13 0 7556.38 0.76 13 p-sc-2114 p-sc-2101
